安徽省,Anhui Province
福建省,Fujian Province
广东省,Guangdong Province
甘肃省,Gansu Province
贵州省,Guizhou Province
河南省,Henan Province
湖北省,Hubei Province
河北省,Hebei Province
海南省,Hainan Province
黑龙江省,Heilongjiang Province
湖南省,Hunan Province
吉林省,Jilin Province
江苏省,Jiangsu Province
江西省,Jiangxi Province
辽宁省,Liaoning Province
青海省,Qinghai Province
四川省,Sichuan Province
山东省,Shandong Province
陕西省,Shaanxi Province
山西省,Shanxi Province
台湾省,Taiwan Province
云南省,Yunnan Province
浙江省,Zhejiang Province
北京市,Beijing
重庆市,Chongqing
上海市,Shanghai
天津市,Tianjin
安庆市,Anqing
蚌埠市,Bengbu
亳州市,Bozhou
巢湖市,Chaohu
池州市,Chizhou
滁州市,Chuzhou
阜阳市,Fuyang
广德市,Guangde
合肥市,Hefei
淮北市,Huaibei
淮南市,Huainan
黄山市,Huangshan
界首市,Jieshou
六安市,Lu'an
马鞍山市,Ma'anshan
明光市,Mingguang
宁国市,Ningguo
潜山市,Qianshan
宿州市,Suzhou
天长市,Tianchang
桐城市,Tongcheng
铜陵市,Tongling
芜湖市,Wuhu
无为市,Wuwei
宣城市,Xuancheng
福安市,Fu'an
福鼎市,Fuding
福清市,Fuqing
福州市,Fuzhou
建瓯市,Jian'ou
晋江市,Jinjiang
龙海市,Longhai
龙岩市,Longyan
南安市,Nan'an
南平市,Nanping
宁德市,Ningde
莆田市,Putian
泉州市,Quanzhou
三明市,Sanming
邵武市,Shaowu
石狮市,Shishi
武夷山市,Wuyishan
厦门市,Xiamen
永安市,Yong'an
漳平市,Zhangping
漳州市,Zhangzhou
白银市,Baiyin
定西市,Dingxi
敦煌市,Dunhuang
合作市,Hezuo
华亭市,Huating
嘉峪关市,Jiayuguan
金昌市,Jinchang
酒泉市,Jiuquan
兰州市,Lanzhou
临夏市,Linxia
陇南市,Longnan
平凉市,Pingliang
庆阳市,Qingyang
天水市,Tianshui
武威市,Wuwei
玉门市,Yumen
张掖市,Zhangye
潮州市,Chaozhou
东莞市,Dongguan
恩平市,Enping
佛山市,Foshan
高州市,Gaozhou
广州市,Guangzhou
鹤山市,Heshan
河源市,Heyuan
化州市,Huazhou
惠州市,Huizhou
江门市,Jiangmen
揭阳市,Jieyang
开平市,Kaiping
乐昌市,Lechang
雷州市,Leizhou
廉江市,Lianjiang
连州市,Lianzhou
陆丰市,Lufeng
罗定市,Luoding
茂名市,Maoming
梅州市,Meizhou
南雄市,Nanxiong
普宁市,Puning
清远市,Qingyuan
汕头市,Shantou
汕尾市,Shanwei
韶关市,Shaoguan
深圳市,Shenzhen
四会市,Sihui
台山市,Taishan
吴川市,Wuchuan
兴宁市,Xingning
信宜市,Xinyi
阳春市,Yangchun
